State,Temp_Min,Temp_Max,Oxy_Min,Oxy_Max,pH_Min,pH_Max,Con_Min,Con_Max,BOD_Min,BOD_Max,N_Min,N_Max,FC_Min,FC_Max,TC_Min,TC_Max
BIHAR,16.0,34.0,6.7,9.1,7.4,8.3,218,441,1.0,2.5,0.3,0.3,2300,92000,3300,160000
ASSAM,22.0,33.0,5.8,8.1,7.0,8.0,142,230,2.0,2.8,0.6,1.8,610,1500,1100,2100
MADHYA PRADESH,22.7,33.0,2.8,9.1,6.8,7.9,612,5952,2.0,3.7,0.0,0.0,2,15,70,120
GUJARAT,27.0,34.0,4.6,7.3,6.8,8.3,417,2517,1.1,2.9,0.36,2.12,27,79,110,280
SIKKIM,15.0,23.0,8.1,9.1,6.6,7.5,119,181,2.0,2.5,1.6,25.0,22,100,54,170
HIMACHAL PRADESH,15.0,25.0,7.6,8.1,7.6,8.3,318,443,1.0,2.3,0.59,0.89,26,70,130,280
ODISHA,21.0,28.0,5.8,9.0,7.2,7.9,471,1052,1.1,2.5,0.32,2.98,130,1100,330,3500
JAMMU & KASHMIR,11.0,22.0,2.4,6.2,8.0,8.5,264,589,1.3,3.0,0.0,1.1,168,836,700,3000
MIZORAM,16.0,26.0,0.3,5.4,6.9,8.0,76,1020,2.2,29.1,0.02,8.73,2,1100,1100,2400
BIHAR,18.0,30.0,6.5,8.6,7.1,8.2,262,406,1.0,2.4,0.3,0.3,4900,54000,11000,92000
